name,type,user_name,rating,review_date,reviews
Breaking Bad,(TV Series),FiRE010,10,4 July 2021,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses."
Breaking Bad,(TV Series),KinoKoopaKid,10,30 July 2021,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
Breaking Bad,(TV Series),bruhperson,10,7 March 2019,Re-Watched it 7 times and counting. I guess I liked it.
Breaking Bad,(TV Series),jehuschultz,10,19 February 2020,I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.
Breaking Bad,(TV Series),Supermanfan-13,10,9 November 2021,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
Breaking Bad,(TV Series),Rob1331,10,9 December 2022,Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!
Breaking Bad,(TV Series),dhanushreddy-14919,10,18 July 2021,Direction- PERFECT!!
Breaking Bad,(TV Series),manishsingh-03299,10,31 May 2019,When you finish the show you'll never be the same..I guarantee you
Breaking Bad,(TV Series),tushv-31482,10,9 December 2022,"I have never watched any series which depicts emotions so exactly through camera angles, dialogues, screen play, perfect story line other than ""Breaking Bad"". We all are lucky enough to be born to watch series like this. Teaches us loyalty, family love, pain and many more things."
Breaking Bad,(TV Series),xpinerhd,10,16 November 2019,I wanna delete my brain and watch it again like I never knew it.
Breaking Bad,(TV Series),JaxTL,,6 August 2022,"I usually don't comment on here but this show is the best I've seen in my life. And I've seen a lot of shows. The setting, character development and the actors... everything is pitch perfect. I'm on my fourth run through this show and I still love it. There's no other show out there I can watch this many times and still be excited. The dynamic between Walter and Jesse is awesome. I will watch this show once a year and I never get bored. Forget about the hyped shows you'll only watch once. This is the one and only you should watch right now If you haven't already. The only show that got me this excited in the last decade was Dark."
Breaking Bad,(TV Series),reebokroot,7,15 February 2021,"If i say that it was good , but not excellent , every fan will try to kill me , but it's my opinion"
Breaking Bad,(TV Series),nickname-76797,3,23 March 2021,The story is interesting and well developed but the pace is too slow. There are too many unnecessary scenes and filler episodes.
Breaking Bad,(TV Series),TheLittleSongbird,10,13 November 2017,"'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about."
Breaking Bad,(TV Series),FishDrowned,10,9 November 2021,"Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u)."
Breaking Bad,(TV Series),joegalgano,10,12 August 2021,Nothing compares. Nothing comes close.
Breaking Bad,(TV Series),gogoschka-1,10,12 January 2014,"If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom."
Breaking Bad,(TV Series),EVON1TY,10,3 March 2023,"This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily."
Breaking Bad,(TV Series),agatt-87232,10,20 May 2019,I was waiting to see how GOT ended. It should be the greatest but they failed miserably in the finale season especially the last 3 (mainly the finale) episode.
Breaking Bad,(TV Series),dristysultana,10,24 June 2021,I liked this series so much that im repeating this show again.
Breaking Bad,(TV Series),Leofwine_draca,10,5 May 2021,"I'd put off watching BREAKING BAD for years and years, not being particularly interested in a contemporary story about a couple of drug dealers, but I needn't have worried. This is a series that lives up to all the accolades, just as involving and gripping as I'd hoped. About half a dozen actors give career best performances as characters that evolve slowly and realistically over five seasons, and the depth is incredible, along with the refusal to paint a single person in black and white. Humour, suspense, action and the depths of the human existence being frequently explored; there's really nothing better."
Breaking Bad,(TV Series),mreuvers,,29 January 2015,In my opinion this series started out brilliantly on a very interesting premise. But later I think the series started to lose its own credibility. It suffered from the same fate a lot of series have these days: they throw in everything they got at the start to actually make an impression. But that leaves them with only so much for the remaining seasons.
Breaking Bad,(TV Series),Shopaholic35,7,12 February 2014,"This is a hard show to review. The first few seasons were incredible but I feel that they dragged it out too long. As the weeks go by I found myself thinking ""really, there are 5 seasons of this"". I am truly diverse in my tastes and don't get offended very easily at all. I love gore, gritty, sci-fi, fantasy, comedy, romance, animation. You get the picture I really do not discriminate and instead judge on it's merits. But I found that Breaking Bad exhausted me. Five seasons of disgusting, corruption, ferralness, deplorable human behaviour took it's toll on my level of appreciation for this show. If it had been shorter I would have enjoyed it more. I know it was revolutionary and truly realistic but in the end I despised it for being great and the fact that I had to see it through to the end."
Breaking Bad,(TV Series),mundoaudiofilo,5,1 July 2015,"I really couldn't wait for this to end, I felt it just dragged on & on forever, I felt I had been watching it for 20 years by the time it finally finished."
Breaking Bad,(TV Series),nasirkazeem,10,8 December 2022,"Spoiler free review of this and i am utterly shocked by how good this show was. Season 1 started off slow so dont drop the show so quickly, this show becomes one of the greatest shows of all time and my favourite show."
Breaking Bad,(TV Series),winnantonio,10,10 October 2017,"One of the great movies of its time. Before, and even now is admire as one of the most classic and greatest films of all time. And I agree. I remember when I first watched it I never thought that Sonny would be the one killed, and Michael being the one taking over the family, and ruling with an iron fist. I have to watch at least one or two times a year."
Breaking Bad,(TV Series),Godz365,10,27 February 2019,The directing by Coppola was perfect as well. Not many movies can be 3 hours and yet maintain a good level of interest from the audience like The Godfather. Coppola deserves credit for this. The symbolism and messages that went into every scene also has to do with the directing not just the writing. The movie is so well edited and strung together that the only word that could come to my mind is perfection.
Breaking Bad,(TV Series),SEO-Serves2024,8,15 January 2024,"I feel like I've missed something, like I definitely enjoyed the film but it was dragged out way longer then it should've. There was definitely a few pointless scenes. I can understand this was way ahead of its time but I'm obviously watching this 50 years late. Which is the reason I believe I didn't enjoy it as much as the rest of you. If you read the rest of my reviews of old film I actually really enjoyed them so don't blame it on my youth. I'll definitely watch the second one aswell at some point and I'm sure I'll really like that one but I've seen films I've given an 8 that are way better. Marlon won the Oscar for best leading role but I think he should've won best supporting role and Al pacino should've been put up for the Oscar. Marlon wasn't in the film nearly as much as I thought he'd be. All in all it definitely wasn't a bad film, in fact a good film but that's all just a good film."
